filename,Hammer,Knife,Pistol,Plier,Rifle,Satellite_model,Snips,Stiletto,Wrench
Multiple_Targets\Multiple_Targets_17_2D.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_0.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_1.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_2.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_3.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_4.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_5.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_6.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_7.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_8.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_9.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_10.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_11.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_12.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_13.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_14.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_15.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_16.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_17.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_18.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_19.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_20.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_21.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_22.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_23.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_24.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_25.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_26.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_27.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_28.jpg,0,1,1,0,0,0,0,0,0
Multiple_Targets\Multiple_Targets_17_2D_aug_29.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_0.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_1.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_2.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_3.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_4.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_5.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_6.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_7.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_8.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_9.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_10.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_11.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_12.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_13.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_14.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_15.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_16.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_17.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_18.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_19.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_20.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_21.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_22.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_23.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_24.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_25.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_26.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_27.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_28.jpg,0,1,1,0,0,0,0,0,0
Concealed_Multiple_Targets\Concealed_Multiple_Targets_13_2D_aug_29.jpg,0,1,1,0,0,0,0,0,0
Rifle\Rifle_1_2D.jpg,0,0,0,0,1,0,0,0,0
